Provider Name,AHFoZ Number,Registration Number,Provider Type,Speciality,Medical Aid Accepted,Organisation,Address,City,Province,Phone,Mobile,Email,Website,Contact Person,Latitude,Longitude,Source URL,Source Title,Last Verified,Notes
Ganye Brian,,M 802306,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MBChB (ZIMB) 2021
GAPARE T,,,Healthcare Provider,,PSMAS,,,,,,,,https://psmas.co.zw/directory/gapare-t/,,,,https://psmas.co.zw/directory/gapare-t/,PSMAS All Listings,2026-07-27,From PSMAS website listings API/HTML JSON
Gapare Tafara,,M 800728,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MBChB (ZIMB) 2014
Gapu Paradzai,,Pae 400627,Doctor,Specialist Paediatrician,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MBChB (ZIMB) 2003
Garaba Rural Health Centre,,,Clinic,,,NGO,"Hwedza, Mashonaland East",Hwedza,Mashonaland East,,,,,,-18.7085,31.5346393585,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Rural Health Centre; Ownership code/source: NGO; Source updated field: 1998
Garaba Tafara Dennis,,M 802775,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MBChB (ZIMB) 2022
Garakasha Rufaro,,M 801817,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Female; Qualification: MBChB (ZIMB) 2018
Garamukanwa Divine Tawanda,,M 803420,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MBChB (ZIMB) 2017
GARAMUMHANGO B,,,Healthcare Provider,,PSMAS,,,,,,,,https://psmas.co.zw/directory/garamumhango-b/,,,,https://psmas.co.zw/directory/garamumhango-b/,PSMAS All Listings,2026-07-27,From PSMAS website listings API/HTML JSON
Garamumhango Blessing,,M 400111,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MBChB (ZIMB) 2002
Garamwera Clinic,,,Clinic,,,Local Authority / Rural,"Buhera, Manicaland",Buhera,Manicaland,,,,,,-19.20661,31.4021892548,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Clinic; Ownership code/source: Local Authority / Rural; Source updated field: 1998
Garanyemba Clinic,,,Clinic,,,Local Authority / Rural,"Gwanda, Matabeleland South",Gwanda,Matabeleland South,,,,,,-21.16676,28.98773,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Clinic; Ownership code/source: Local Authority / Rural; Source updated field: 2007
Garapo Tafadzwa Virgil,,M 800466,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MBChB (ZIMB) 2018
Garapo Tinyarare Lilian,,M 802120,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Female; Qualification: MBChB (ZIMB) 2015
Garcia Cespedes Maria Eugenia,,Phy 805967,Doctor,Specialist Physician,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Female; Qualification: MD ( Santiago -CUBA) 1991
Garden City Clinic,,,Clinic,,,,"Stand 383 Engineering, Machipisa",Harare,Harare,,,,,Moirah Bukutu,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Garicos Health Care,,,Healthcare Facility,,,,"Shop 8, Budiriro 5 Shopping Centre",Harare,Harare,,,,,Garikai Muzopambwa,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Garikai Pharmacy,,,Pharmacy,,,,3116Dulibadzimu Township,Beitbridge,Matabeleland South,,,,,Mensil Mabeka,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Garwe Chengetai,,Olg 800228,Doctor,Specialist Otorhinolaryngologist,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Female; Qualification: MBChB (ZIMB) 2013
Gatahwi Tracey Tinotenda,,M 803244,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Female; Qualification: MBChB (ZIMB) 2023
Gate Tadiwa,,Int 805140,Doctor,Intern,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: Master of Medicine Degree in Family Medicine (ZIMB) 2025
Gateway Care Pharmacy,,,Pharmacy,,,,Stand No.15706Domboshava RoadHatcliffe,Harare,Harare,,,,,Takudzwa Chikombero,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Gateway Care Surgery,,,Doctor,Surgeon,,,15706 Domboshava RoadHatcliffe,Harare,Harare,,,,,Emmanuel Masosota,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Gateway Mental Health and Rehabilitation (indoor/outdoor) Psychology Unit,,,Rehabilitation Centre,,,,16 Mclaren Milton Park,Harare,Harare,,,,,Naeem Farzana,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Gateway Pharmacy,,,Pharmacy,,,,Makaha Business Centre,Mutoko,Mashonaland East,,,,,Lacksley Madya,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Gaths Mine Hospital,,,Private Hospital,,,Private,"Masvingo, Masvingo",Masvingo,Masvingo,,,,,,-20.0236,30.51238,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Hospital; Ownership code/source: Private; Source updated field: 2007
Gatse Gatse Gvt Clinic,,,Clinic,,,Local Authority / Rural,"Kariba, Mashonaland West",Kariba,Mashonaland West,,,,,,-16.78361,28.8602790833,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Gvt Clinic; Ownership code/source: Local Authority / Rural; Source updated field: 1998
Gatse Tendai Melisa,,M 803922,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Female; Qualification: MBChB (ZIMB) 2018
Gatsi Anesuishe Blessings,,Int 804008,Doctor,Intern,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MBChB (ZIMB) 2025
Gatsi Clinic,,,Clinic,,,,Gatsi Village,Mutare,Manicaland,,,,,Beauty Nyazika,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Gatsi Mission Clinic,,,Clinic,,,Mission,"Mutasa, Manicaland",Mutasa,Manicaland,,,,,,-18.52333,32.8178596497,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Mission Clinic; Ownership code/source: Mission; Source updated field: 1998
Gaula Clinic(Not Open),,,Clinic,,,8,"Ump, Mashonaland East",Ump,Mashonaland East,,,,,,-16.99611,32.0991706848,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Clinic(Not Open); Ownership code/source: 8; Source updated field: 1998
Gava Rural Health Centre,,,Clinic,,,NGO,"Bikita, Masvingo",Bikita,Masvingo,,,,,,-20.53792,31.80962,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Rural Health Centre; Ownership code/source: NGO; Source updated field: 2007
Gavhunga Clinic(Not Open),,,Clinic,,,8,"Kadoma, Mashonaland West",Kadoma,Mashonaland West,,,,,,-18.72362,30.5599,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Clinic(Not Open); Ownership code/source: 8; Source updated field: 2007
Gavi Silence,,Cm 273246,Doctor,Specialist Community Physician,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MBChB (ZIMB) 1992
Gavilan Acosta Maibelys,,Pat 805970,Doctor,Specialist Pathologist,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Female; Qualification: MD (Pinar del Rio-CUBA) 2018
Gawa Clinic,,,Clinic,,,Local Authority / Rural,"Gokwe, Midlands",Gokwe,Midlands,,,,,,-18.26167,28.7338905334,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Clinic; Ownership code/source: Local Authority / Rural; Source updated field: 1998
Gaza Council Clinic,,,Clinic,,,Local Authority / Rural,"Chipinge, Manicaland",Chipinge,Manicaland,,,,,,-20.19194,32.6394386292,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Council Clinic; Ownership code/source: Local Authority / Rural; Source updated field: 1998
Gazaland Medical Centre,,,Clinic,,,,32566 Phase 6 Eastview Extension,Harare,Harare,,,,,Calsto Taguta,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
GC Pharmacy,,,Pharmacy,,,,16 Leopold Takawira Street,Masvingo,Masvingo,,,,,Godfrey Tirivanhu,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
GCC Pharmacy (Private)Limited,,,Pharmacy,,,,383 EngineeringHighfieldMachipisa,Harare,Harare,,,,,Rebecca Dowart,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Gede Tinashe,,Phy 700765,Doctor,Specialist Physician,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MBChB (ZIMB) 2007
Gejo raRuby RHC,,,RHC,,,,"Goromonzi, Mashonaland East",Goromonzi,Mashonaland East,,,,,,-17.7404,31.3238,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: RHC; Ownership code/source: ; Source updated field: 2013
Gem-Health Pharmacy,,,Pharmacy,,,,21512Kuwadzana 2 Shopping Centre,Harare,Harare,,,,,Wise Murashi,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Gena 1 Rural Health Centre,,,Clinic,,,NGO,"Kadoma, Mashonaland West",Kadoma,Mashonaland West,,,,,,-17.87056,29.3247203827,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Rural Health Centre; Ownership code/source: NGO; Source updated field: 1998
Genau Laboratories,,,Laboratory,,CellMed,,"Suite 37, 3rd Floor, Medical Centre",Harare,Harare,,024703223 / 250976,,,,,,https://zimmedicover.com/wp-content/uploads/2024/12/CellMed-Service-Provider-Directory.pdf,CellMed Service Provider Directory,2026-07-27,Section: LABORATORY CNR 5TH STREET
Genau Pathology Laboratories,,,Laboratory,,,,52 Baines Avenue,Harare,Harare,,,,,Nyasha Gwangwava,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Genau Pathology Laboratories,,,Laboratory,,,,Lot 1Stand 43A Comet Rise,Harare,Harare,,,,,Lynette Makuwaza,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Genau Pathology Laboratories - Bulawayo,,,Laboratory,,,,7A9th Avenue,Bulawayo,Bulawayo,,,,,Monalisa Jangano,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Genau Pathology Laboratories - Chitungwiza,,,Laboratory,,,,Stand 19331Zengeza 4,Chitungwiza,Harare,,,,,Lynette Makuwaza,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Genau Pathology Laboratories - Gweru,,,Laboratory,,,,662nd Street,Gweru,Midlands,,,,,Monalisa Jangano,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Genau Pathology Laboratories - Marondera,,,Laboratory,,,,22 Fourth Street,Marondera,Mashonaland East,,,,,Nyasha Gwangwava,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Genau Pathology Laboratories - R.G Mugabe Airport,,,Laboratory,,,,Robert Mugabe International Airport,Harare,Harare,,,,,Lynette Makuwaza,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Genau Pathology Laboratories-Masvingo,,,Laboratory,,,,387R.G.Mugabe Way,Masvingo,Masvingo,,,,,Nyasha Gwangwava,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Genau Pathology Laboratories-Southerton,,,Laboratory,,,,31Lobengula Road Southerton,Harare,Harare,,,,,Lynette Makuwaza,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
GENAU PATHOLOGY LABORATORY,,,Laboratory,,PSMAS,,,,,,,,https://psmas.co.zw/directory/genau-pathology-laboratory/,,,,https://psmas.co.zw/directory/genau-pathology-laboratory/,PSMAS All Listings,2026-07-27,From PSMAS website listings API/HTML JSON
Generation Health Clinic,,,Clinic,,,,"4th Floor, Medical Chambers, 60 Baines Avenue",Harare,Harare,,,,,Ishmael Matongo,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Generation Medical Centre,,,Clinic,,,,Stand 377Chivi Growth Point,Chivi,Masvingo,,,,,Courage Madhombiro,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Generation Medical Centre - Nyika,,,Clinic,,,,Stand C2050,Masvingo,Masvingo,,,,,Courage Madhombiro,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
GENERATION MEDICAL CENTRE-CHIVI,,,Clinic,,PSMAS,,,,,,,,https://psmas.co.zw/directory/generation-medical-centre-chivi/,,,,https://psmas.co.zw/directory/generation-medical-centre-chivi/,PSMAS All Listings,2026-07-27,From PSMAS website listings API/HTML JSON
Genesis Pharmacy,,,Pharmacy,,,,12637Phase 3Kuwadzana,Harare,Harare,,,,,Hilda Kanyera,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Genesis Pharmacy,,,Pharmacy,,,,,,,,,,https://www.hellodoctor.co.zw/listing/genesis-pharmacy,,,,https://www.hellodoctor.co.zw/listing/genesis-pharmacy,Hello Doctor Zimbabwe,2026-07-27,Discovered via directory crawl of Hello Doctor Zimbabwe
Genetics Medical Laboratory,,,Laboratory,,,,2nd FloorMoonlight Complex5 Street,Gweru,Midlands,,,,,Last Mbwera,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Genomix Medical Centre Laboratory,,,Laboratory,,,,66 Rezende Street,Harare,Harare,,,,,Svitsai Chagonda,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Genopath Clinical Laboratories,,,Laboratory,,,,77 Sam Nujoma Street,Harare,Harare,,,,,Heather Phillipo,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Genopath Private Limited,,,Healthcare Facility,,,,77 Sam Mujoma Street,Harare,Harare,,,,,Heather Phillipo,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Gentle Hearts Family Clinic,,,Clinic,,,,31 Central Avenue,Harare,Harare,,,,,Shingirayi Ganyawu,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Gents Health Centre,,,Healthcare Facility,,,,8 McChlery AvenueEastlea,Harare,Harare,,,,,Tinashe Dhoro,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Geomon Laboratories,,,Laboratory,,,,Number 1 Wingston Court 67,Bulawayo,Bulawayo,,,,,Monalisa Jangano,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Gerema Valeria,,M 804303,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Female; Qualification: MBChB (ZIMB) 2024
GERESS S. S.,,,Healthcare Provider,,PSMAS,,,,,,,,https://psmas.co.zw/directory/geress-s-s/,,,,https://psmas.co.zw/directory/geress-s-s/,PSMAS All Listings,2026-07-27,From PSMAS website listings API/HTML JSON
Geress Sameh Said,,Phy 500138,Doctor,Specialist Physician,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MBChB (Zagazig -EGYPT) 1989
Getlife Pharmacy-Marondera,,,Pharmacy,,,,32Oak Street,Marondera,Mashonaland East,,,,,Tendai Muvhiyiwa,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Getway Pharmacy,,,Pharmacy,,,,1487 Rutenga,Masvingo,Masvingo,,,,,Aswell Gwanyanya,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Getwell Pharmacy,,,Pharmacy,,,,7098Westlea ShopsWestlea,Harare,Harare,,,,,,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Gezani Clinic,,,Clinic,,,Local Authority / Rural,"Chiredzi, Masvingo",Chiredzi,Masvingo,,,,,,-22.10286,31.1555309296,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Clinic; Ownership code/source: Local Authority / Rural; Source updated field: 1998
Gezha Elizabeth Runakorwashe,,Dp 805930,Dentist,Dental Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Female; Qualification: BDS (ZIMB) 2022
Gibmazi Medical Laboratory,,,Laboratory,,,,"335b Way, Masotsha NdhlovuWaterfalls",Harare,Harare,,,,,Ladislous Govere,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Gibson Tichaona Ryan,,M 801980,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MBChB (ZIMB) 2015
Gidye Tendai,,DT 802090,Dentist,Dental Technician,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Female; Qualification: D Tech (ZIMB) 2015
GIF Medical Centre,,,Clinic,,,,87-89 Kwame Nkrumah Avenue,Harare,Harare,,,,,Ruvimbo Panganai,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Gifted Hands 24 Hr Clinic,,,Clinic,,,,19 Baker Street,Kadoma,Mashonaland West,,,,,Agnes Vambe,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Gifted Hands Medical Clinic,,,Clinic,,,,1Ross AvenueBelgravia,Harare,Harare,,,,,Berlindah Shawatu,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Gilston Clinic,,,Clinic,,,Local Authority / Rural,"Seke, Mashonaland East",Seke,Mashonaland East,,,,,,-18.02458,30.950220108,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Clinic; Ownership code/source: Local Authority / Rural; Source updated field: 1998
Gilun Clinic,,,Clinic,,,,1476 Mkoba 3,Gweru,Midlands,,,,,Gilbert Muzenda,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
GioRen Family Clinic,,,Clinic,,,,"Starlight House Suite 7Stand 53-54, 3rd Street",Gweru,Midlands,,,,,Kudzanai Guveya,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Girach Aaliyah,,Int 804984,Doctor,Intern,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Female; Qualification: BDS (ZIMB) 2025
Glamorgan Clinic,,,Clinic,,,,"Bindura, Mashonaland Central",Bindura,Mashonaland Central,,,,,,-17.4394,31.4236,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Clinic; Ownership code/source: ; Source updated field: 2013
Glaudina Health Services,,,Healthcare Facility,,,,111 Phase 2 Glaudina,Zvimba,,,,,,Obvious Chikore,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Glaudina Medical Centre,,,Clinic,,,,95 Marwede Road,Harare,Harare,,,,,Brian Maziriri,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Glaudina Medical Centre and Maternity,,,Clinic,,,,1069 MarwedeGlaudina,Zvimba,,,,,,Ernest Mauwa,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Glaudina Pharmacy,,,Pharmacy,,,,95 Marwede RoadGlaudina,Harare,Harare,,,,,,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Glen Norah A Medical Clinic,,,Clinic,,,,Stand 8673,Harare,Harare,,,,,Billy Rigava,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Glen Norah A Surgery - Karaga,,,Doctor,Surgeon,,,7055 Glen norah A Chitubu S/C,Harare,Harare,,,,,Joseph Karaga,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Glen Norah Life Care Clinic,,,Clinic,,,,7079 Spaceman Shops Glen Norah A,Harare,Harare,,,,,Silas Mafuhure,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Glen norah Satellite clinic,,,Clinic,,,council,"Harare, Harare",Harare,Harare,,,,,,-17.9058,30.969,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Satellite clinic; Ownership code/source: council; Source updated field: 2013
Glen View 3 Surgery,,,Doctor,Surgeon,,,4529 15th StreetGlenview 3,Harare,Harare,,,,,Billy Rigava,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Glen View Maternity Home & Clinic,,,Clinic,,,,6703 97 Crescent Glen View 8,Harare,Harare,,,,,Aemilia Mawarire,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Glen View Medical & Radiology Centre,,,Radiology Centre,Radiology,,,9515 Tichagarika Shopping Centre,Harare,Harare,,,,,Taziva Maketa,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Glen view Poly clinic,,,Clinic,,,council,"Harare, Harare",Harare,Harare,,,,,,-17.908,30.9508,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Poly clinic; Ownership code/source: council; Source updated field: 2013
Glenara Medical Centre,,,Clinic,,,,70 Glenara AvenueHighlands,Harare,Harare,,,,,Virginia Masunda,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
